name,hourly rate,title,location
Nils-Bertil W.,"$105.00
/hr",Investment Research | Data Science | TensorFlow Developer,United States
Giorgi N.,"$48.75
/hr",CFA | Modelling & Excel | Research & Valuation | Financial Analysis,Georgia
Simeon M.,"$100.00
/hr",Financial Models | FP&A | CFA | IFRS | ACCA |,Bulgaria
Olga V.,"$50.00
/hr",Financial Analyst - CFA Charterholder,Portugal
David D.,"$75.00
/hr",Experienced investment analyst and writer,United States
Ana V.,"$50.00
/hr",Data Analyst,Serbia
Christopher K.,"$125.00
/hr",CFA | Investment Consultant | Modeling Expert | Excel/VBA Wizard,United States
Rakshit M.,"$30.00
/hr","CFO Services | Fundraising | Quickbooks, Xero",India
Neha N.,"$10.00
/hr",Experienced Equity Research Analyst,India
Aman G.,"$20.00
/hr",CFA I Financial Analyst I Corporate Finance I Financial Modelling,India
Aman G.,"$20.00
/hr",CFA I Financial Analyst I Corporate Finance I Financial Modelling,India
Abhishek S.,"$15.00
/hr","CPA, ICAI CA Accountant, Virtual CFO, International Tax Specialist",India
Vlad M.,"$95.00
/hr",Data Analyst,Romania
Qasim B.,"$25.00
/hr",Data Scientist/Analyst/Scraper/Visualizer,Pakistan
Jake K.,"$50.00
/hr","Data Analyst with R, R Shiny, R Markdown, SQL, SAS and VBA experience",United States
Jason W.,"$38.00
/hr",BI Developer and Data Analyst,United States
Jesus Demetrio D.,"$20.00
/hr",Data Analyst,Philippines
Martha N.,"$5.00
/hr",data analyst,Uganda
Ammar R.,"$15.00
/hr",Data Analyst,Pakistan
Angelica B.,"$40.00
/hr",Data Analyst,United States
Wijesh K.,"$20.00
/hr",Data Analyst,Pakistan
Eli M.,"$18.00
/hr",Business Analyst,United States
Mercy K.,"$5.00
/hr",Data Analyst.,Kenya
Aldayne D.,"$5.00
/hr",Data Entry Expert for your Database | Database Manager,Philippines
gener p.,"$15.00
/hr",Data Analyst/Excel Expert,Philippines
Reuben K.,"$30.00
/hr",Data Scientist/Analyst,United States
Raveena S.,"$40.00
/hr",Data Analyst,United States
Joel P.,"$85.00
/hr",Risk Manager | Policy Analyst | Research Consultant |Data Scientist,Canada
Mercie B.,"$5.00
/hr","Data Scientist and Analyst , Statistician",Kenya
Parveen K.,"$50.00
/hr",Senior Data Analyst,India
Bader Al H.,"$15.00
/hr",Financial analyst and ML expert,Pakistan
Danielle G.,"$90.00
/hr","Data Analyst (Excel, Tableau, SQL, Google Data Studio)",United States
Neil S.,"$50.00
/hr",Digital Marketing Pro Google Analytics Certified Analysis Reporting,United States
Erik L.,"$65.00
/hr",Data Analyst | Software Engineer | API Technical Writer,United States
Shruti S.,"$20.00
/hr",Data Analyst,India
Michael M.,"$50.00
/hr",Data Scientist and Analyst,United States
Adam U.,"$40.00
/hr",Data Analyst | MBA,United States
Madalina U.,"$15.00
/hr",Data analyst,Romania
Ahmed E.,"$10.00
/hr",Data Analyst,Egypt
Sathish Kumar P.,"$20.00
/hr",Data Analyst,India
Nicholas B.,"$10.00
/hr",Data Analyst,United States
Jian Y.,"$16.00
/hr",Data Analyst,Canada
Natalia S.,"$15.00
/hr",Data Analyst,Ukraine
Khvicha S.,"$25.00
/hr",Data Analyst,Georgia
Jonathan W.,"$20.00
/hr",Data Analyst,United States
Amy P.,"$20.00
/hr",Analyst,United States
Sadheer K.,"$10.00
/hr",Excel | Google Sheets Specialist | Data Analyst | MBA,Pakistan
Shon I.,"$45.00
/hr",Data Science Analyst,United States
Dimitris X.,"$12.00
/hr",Statistical Analyst/Consultant,Greece
Justin G.,"$6.00
/hr",Expert Data and Reports Analyst,Philippines
Goutam B.,"$12.50
/hr","Data Scientist, Analyst, Visualizer, Scraper",India
Fatai S.,"$30.00
/hr","Microsoft Certified, Power BI & Excel Data Analyst Expert",Nigeria
Eduardo Jr A.,"$5.00
/hr",Data Analyst and Virtual Assitant,Philippines
Syed Imaz A.,"$20.00
/hr",Power BI Developer | BI Developer | Data Analyst | Data Scientist,Pakistan
Mattithyahu O.,"$50.00
/hr",Business Intelligence Analyst,United Kingdom
Abe C.,"$75.00
/hr","Business Analyst, Data Analyst, Consultant, Data Governance",United Kingdom
Lorenzo C.,"$80.00
/hr",Data analyst,United States
Em P.,"$50.00
/hr",Data Analyst,Philippines
Ryan M.,"$110.00
/hr","Data Science, Analyst, and Engineer",United States
Darrell Kirby M.,"$13.00
/hr",Data analyst / Excel VBA Ninja / Inventory and Warehousing planner,Philippines
Smith O.,"$40.00
/hr",Data Analyst | Excel VBA Expert | Virtual Assistant,Nigeria
Deepak B.,"$15.00
/hr",Data Analyst / Business Intelligence Analyst,India
Tomas Agustin Arias B.,"$10.00
/hr",Data Analyst | Business Intelligence Developer,Argentina
Pedro M.,"$40.00
/hr",Data Analytics & Business intelligence Expert,Portugal
Thiago F.,"$50.00
/hr",Power BI Specialist | Data Analyst | Business Intelligence Developer,Brazil
Siddhesh S.,"$40.00
/hr",Data Scientist/Quantitative Analyst,India
Dennis T.,"$50.00
/hr","MSSQL Data Engineer, Analyst and Data Scientist",United States
Alex B.,"$45.00
/hr","GIS Programmer/Analyst, Data Analyst/Data Viz",United States
Donald C.,"$60.00
/hr",Statistician | Researcher | Data Analyst,United States
Sarah E.,"$50.00
/hr",Data Scientist / Data Analyst / Python Developer,Egypt
Anna Kristine D.,"$5.00
/hr",Data Researcher and Analyst,Philippines
Shashank K.,"$66.25
/hr",Data Scientist & Analyst | Tableau Expert | Google Certified TF Dev,United States
Indrani K.,"$50.00
/hr",Data Analyst,United States
Sheila Mae T.,"$10.00
/hr",Research Analyst,Philippines
Zain ul a.,"$30.00
/hr",Data Analyst,Pakistan
Anas S.,"$15.00
/hr",Data Analyst,Jordan
Kevin B.,"$10.00
/hr",Data Analyst,Argentina
Syeda Mazia M.,"$30.00
/hr",Data Analyst | Statistician | Dashboard Creator,Pakistan
Bart Y.,"$65.00
/hr",If you could...,United States
Mohit G.,"$50.00
/hr",Ex-McKinsey | New venture set-up | SaaS marketing research,India
Kosmas B.,"$50.00
/hr",Data Engineer | Analyst,Greece
Wondimu A.,"$60.00
/hr","Data Analyst, Data Scientist",United States
Kimberly L.,"$50.00
/hr",Data Analyst and Dashboard Designer -Higher Education,United States
Ketki K.,"$50.00
/hr",Seasoned Data / Business Analyst,United States
Soumya B.,"$40.00
/hr",Mixpanel Specialist | Data Analyst | Product Analyst,India
Juan Rafael F.,"$25.00
/hr",Senior Data Analyst | BI Analyst | Excel Wizard,Canada
Eliazer Jr M.,"$10.00
/hr",Data Analyst/ Data QA/ Data Science/Machine Learning,Philippines
Elene M.,"$10.00
/hr",Microsoft Excel Expert | Business Reporting | Certified Six Sigma,Georgia
Polina J.,"$25.00
/hr",Excel Data Analyst,Bulgaria
Jemyr Vincent C.,"$5.00
/hr",Data Entry Analyst,Philippines
Rubina A.,"$12.00
/hr",Modern Data Analyst,Georgia
Maria Elisa B.,"$60.00
/hr",Data Scientist - Data Analyst - R programming,Uruguay
Sherwin L.,"$3.26
/hr",Data Analyst,Philippines
Luke G.,"$55.00
/hr",Data Analyst,United States
Khairulanwar Abdul J.,"$17.50
/hr",GIS Analyst,Malaysia
Oluwafunmilayo S.,"$30.00
/hr",Data Analyst,Nigeria
Lina E.,"$20.00
/hr",Data Analyst,Colombia
Danielle Joanna Bianca D.,"$6.00
/hr",Content Analyst,Philippines
Nikita Z.,"$20.00
/hr",Data Analyst,Israel
Romar Joshua C.,"$15.00
/hr",Data Analyst,Philippines
Khaladi H.,"$6.00
/hr",Data Analyst,Tunisia
